"eventid";"success";"date";"gname";"individual";"phenomenon_area";"city";"latitude";"longitude";"dayunclear";"locationunclear";"doubtterr";"alternative_txt";"nkill";"nwound";"nkillter";"nwoundte";"attacktype1_txt";"attacktype2_txt";"targtype1_txt";"targtype2_txt";"targtype3_txt";"target1";"target2";"target3";"corp1";"corp2";"corp3";"weaptype1_txt";"weapsubtype1_txt";"weaptype2_txt";"weapsubtype2_txt";"weaptype3_txt";"weapsubtype3_txt";"weapdetail";"suicide"
197001100001;1;1970-01-10;"Commune 1";0;"Left-Wing Extremism";"Berlin";52,50153;13,401851;0;0;0;NA;NA;NA;NA;NA;"Bombing/Explosion";NA;"Government (General)";NA;NA;"Jurists Ball (Palais au Frankturm)";NA;NA;NA;NA;NA;"Explosives";"Unknown Explosive Type";NA;NA;NA;NA;"Explosive";0
197001280001;1;1970-01-28;"Unknown";0;"Uncategorized";"Berlin";52,50153;13,401851;0;0;-9;NA;NA;NA;NA;NA;"Facility/Infrastructure Attack";NA;"Police";NA;NA;"Residence of President of Penal Office";NA;NA;NA;NA;NA;"Incendiary";"Molotov Cocktail/Petrol Bomb";NA;NA;NA;NA;"Molotov cocktail";0
197002100001;1;1970-02-10;"Popular Front for the Liberation of Palestine (PFLP)";0;"Foreign Extremism";"Munich";48,139126;11,580186;0;0;0;NA;1;NA;NA;NA;"Armed Assault";NA;"Airports & Aircraft";NA;NA;"El Al Passenger Bus & Airport Lounge";NA;NA;NA;NA;NA;"Firearms";"Automatic or Semi-Automatic Rifle";NA;NA;NA;NA;"Automatic firearms";0
197002130002;1;1970-02-13;"Popular Front for the Liberation of Palestine (PFLP)";0;"Foreign Extremism";"Munich";48,139126;11,580186;0;0;0;NA;7;9;NA;NA;"Facility/Infrastructure Attack";NA;"Private Citizens & Property";NA;NA;"Jewish Old People's Home";NA;NA;NA;NA;NA;"Incendiary";NA;NA;NA;NA;NA;"Incendiary";0
197002210001;1;1970-02-21;"Popular Front for the Liberation of Palestine, Gen Cmd (PFLP-GC)";0;"Foreign Extremism";"Frankfurt";50,11797;8,644191;0;0;0;NA;NA;NA;NA;NA;"Bombing/Explosion";NA;"Airports & Aircraft";NA;NA;"Austrian Airliner en route to Tel Aviv";NA;NA;NA;NA;NA;"Explosives";"Pressure Trigger";NA;NA;NA;NA;"Barometric bomb";0
197003100001;0;1970-03-10;"Unknown";0;"Uncategorized";"Munich";48,139126;11,580186;0;0;0;NA;NA;NA;NA;NA;"Bombing/Explosion";NA;"Government (General)";NA;NA;"Court Building (Amstgericht)";NA;NA;NA;NA;NA;"Explosives";"Time Fuse";NA;NA;NA;NA;"Bomb - timed";0
197004280001;1;1970-04-28;"Extraparliamentary Opposition (APO)";0;"Left-Wing Extremism";"West Berlin";52,50153;13,401851;0;0;0;NA;NA;NA;NA;NA;"Facility/Infrastructure Attack";NA;"Business";NA;NA;"Bank";NA;NA;NA;NA;NA;"Incendiary";"Molotov Cocktail/Petrol Bomb";NA;NA;NA;NA;"Molotov cocktails";0
197004280002;1;1970-04-28;"Unknown";0;"Uncategorized";"Berlin";52,50153;13,401851;0;0;-9;NA;NA;NA;NA;NA;"Facility/Infrastructure Attack";NA;"Government (General)";NA;NA;"Court Bldg";NA;NA;NA;NA;NA;"Incendiary";NA;NA;NA;NA;NA;"Incendiary";0
197005050001;1;1970-05-05;"Extraparliamentary Opposition (APO)";0;"Left-Wing Extremism";"Berlin";52,50153;13,401851;0;0;0;NA;NA;NA;NA;NA;"Facility/Infrastructure Attack";NA;"Government (Diplomatic)";NA;NA;"American-Haus";NA;NA;NA;NA;NA;"Incendiary";NA;NA;NA;NA;NA;"Incendiary";0
197005100001;1;1970-05-10;"Extraparliamentary Opposition (APO)";0;"Left-Wing Extremism";"Berlin";52,50153;13,401851;0;0;0;NA;NA;NA;NA;NA;"Facility/Infrastructure Attack";NA;"Business";NA;NA;"IBM Office";NA;NA;NA;NA;NA;"Incendiary";NA;NA;NA;NA;NA;"Incendiary";0
197005150001;1;1970-05-15;"Unknown";0;"Uncategorized";"West Berlin";52,50153;13,401851;0;0;-9;NA;NA;NA;NA;NA;"Facility/Infrastructure Attack";NA;"Business";NA;NA;"Savings and Loan of West Berlin, Branch #12";NA;NA;NA;NA;NA;"Incendiary";NA;NA;NA;NA;NA;"Incendiary";0
197005150003;1;1970-05-15;"Unknown";0;"Uncategorized";"West Berlin";52,50153;13,401851;0;0;-9;NA;NA;NA;NA;NA;"Armed Assault";NA;"Business";NA;NA;"Bank";NA;NA;NA;NA;NA;"Firearms";"Automatic or Semi-Automatic Rifle";NA;NA;NA;NA;"Automatic firearm";0
197006060002;1;1970-06-06;"Extraparliamentary Opposition (APO)";0;"Left-Wing Extremism";"West Berlin";52,50153;13,401851;0;0;0;NA;NA;NA;NA;NA;"Armed Assault";NA;"Business";NA;NA;"Xerox Building";NA;NA;NA;NA;NA;"Firearms";"Automatic or Semi-Automatic Rifle";NA;NA;NA;NA;"Automatic firearm";0
197006060003;1;1970-06-06;"Extraparliamentary Opposition (APO)";0;"Left-Wing Extremism";"West Berlin";52,50153;13,401851;0;0;0;NA;NA;NA;NA;NA;"Armed Assault";NA;"Government (General)";NA;NA;"Court Building";NA;NA;NA;NA;NA;"Firearms";"Automatic or Semi-Automatic Rifle";NA;NA;NA;NA;"Automatic firearm";0
197006140001;1;1970-06-14;"Unknown";0;"Uncategorized";"West Berlin";52,50153;13,401851;0;0;-9;NA;NA;NA;NA;NA;"Facility/Infrastructure Attack";NA;"Government (General)";NA;NA;"Court House/ Tiergarten";NA;NA;NA;NA;NA;"Incendiary";NA;NA;NA;NA;NA;"Incendiary";0
197006140002;1;1970-06-14;"Unknown";0;"Uncategorized";"West Berlin";52,50153;13,401851;0;0;-9;NA;NA;NA;NA;NA;"Facility/Infrastructure Attack";NA;"Government (General)";NA;NA;"Court Bldg (haudgeright Tegeler Weg)";NA;NA;NA;NA;NA;"Incendiary";NA;NA;NA;NA;NA;"Incendiary";0
